1XBA,1XBCA,1XBCD,1XBCH,1XBD,1XBH,ABP,AC,AF,AFKC,AG,AHCh,AHW,AHh,AO,AR,AS,AST,AT,AY,Attendance,Avg<2.5,Avg>2.5,AvgA,AvgAHA,AvgAHH,AvgC<2.5,AvgC>2.5,AvgCA,AvgCAHA,AvgCAHH,AvgCD,AvgCH,AvgD,AvgH,Away,AwayTeam,B365<2.5,B365>2.5,B365A,B365AH,B365AHA,B365AHH,B365C<2.5,B365C>2.5,B365CA,B365CAHA,B365CAHH,B365CD,B365CH,B365D,B365H,B36CA,BFA,BFCA,BFCD,BFCH,BFD,BFDA,BFDCA,BFDCD,BFDCH,BFDD,BFDH,BFE<2.5,BFE>2.5,BFEA,BFEAHA,BFEAHH,BFEC<2.5,BFEC>2.5,BFECA,BFECAHA,BFECAHH,BFECD,BFECH,BFED,BFEH,BFH,BMGMA,BMGMCA,BMGMCD,BMGMCH,BMGMD,BMGMH,BSA,BSD,BSH,BVA,BVCA,BVCD,BVCH,BVD,BVH,BWA,BWCA,BWCD,BWCH,BWD,BWH,Bb1X2,BbAH,BbAHh,BbAv<2.5,BbAv>2.5,BbAvA,BbAvAHA,BbAvAHH,BbAvD,BbAvH,BbMx<2.5,BbMx>2.5,BbMxA,BbMxAHA,BbMxAHH,BbMxD,BbMxH,BbOU,CLA,CLCA,CLCD,CLCH,CLD,CLH,Date,Div,FTAG,FTHG,FTR,GB<2.5,GB>2.5,GBA,GBAH,GBAHA,GBAHH,GBD,GBH,HBP,HC,HF,HFKC,HG,HHW,HO,HR,HS,HST,HT,HTAG,HTHG,HTR,HY,Home,HomeTeam,IWA,IWCA,IWCD,IWCH,IWD,IWH,LB,LB.1,LB.2,LBA,LBAH,LBAHA,LBAHH,LBCA,LBCD,LBCH,LBD,LBH,League,Max<2.5,Max>2.5,MaxA,MaxAHA,MaxAHH,MaxC<2.5,MaxC>2.5,MaxCA,MaxCAHA,MaxCAHH,MaxCD,MaxCH,MaxD,MaxH,P<2.5,P>2.5,PAHA,PAHH,PC<2.5,PC>2.5,PCAHA,PCAHH,PSA,PSCA,PSCD,PSCH,PSD,PSH,Referee,Res,SBA,SBD,SBH,SJA,SJD,SJH,SOA,SOD,SOH,SYA,SYD,SYH,Season,Time,Unnamed: 10,Unnamed: 105,Unnamed: 106,Unnamed: 11,Unnamed: 119,Unnamed: 12,Unnamed: 120,Unnamed: 121,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 7,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 8,Unnamed: 9,VCA,VCCA,VCCD,VCCH,VCD,VCH,WHA,WHCA,WHCD,WHCH,WHD,WHH,ï»¿Country,ï»¿Div
,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1.62,,,3.88,4.95,,,Basel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/07/2012,,,,,,,,,,,,,,,,,2,,,,,,,,,,,Grasshoppers,,,,,,,,,,,,,,,,,,,,Super League,,,,,,,,1.8,,,4.38,5.91,,,,,,,,,,,,1.6,4.38,5.91,,,,D,,,,,,,,,,,,,2012/2013,18:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland,
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2.42,,,3.23,2.79,,,Zurich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/07/2012,,,,,,,,,,,,,,,,,3,,,,,,,,,,,St. Gallen,,,,,,,,,,,,,,,,,,,,Super League,,,,,,,,2.6,,,3.41,3.1,,,,,,,,,,,,2.5,3.41,3.03,,,,H,,,,,,,,,,,,,2012/2013,18:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland,
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2.58,,,3.13,2.67,,,Servette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/07/2012,,,,,,,,,,,,,,,,,5,,,,,,,,,,,Lausanne,,,,,,,,,,,,,,,,,,,,Super League,,,,,,,,2.7,,,3.32,2.92,,,,,,,,,,,,2.68,3.28,2.92,,,,H,,,,,,,,,,,,,2012/2013,12:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland,
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,4.37,,,3.59,1.75,,,Thun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/07/2012,,,,,,,,,,,,,,,,,3,,,,,,,,,,,Young Boys,,,,,,,,,,,,,,,,,,,,Super League,,,,,,,,4.76,,,4.0,1.83,,,,,,,,,,,,4.55,3.95,1.83,,,,H,,,,,,,,,,,,,2012/2013,12:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland,
,,,,,,,,,,3,,,,,,,,,,,,,,,,,,3.4,,,3.24,2.09,,,Sion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/07/2012,,,,,,,,,,,,,,,,,0,,,,,,,,,,,Luzern,,,,,,,,,,,,,,,,,,,,Super League,,,,,,,,4.08,,,3.49,2.29,,,,,,,,,,,,3.93,3.36,2.13,,,,A,,,,,,,,,,,,,2012/2013,15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland,
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2.5,,,3.27,2.67,,,Basel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/08/2012,,,,,,,,,,,,,,,,,1,,,,,,,,,,,Sion,,,,,,,,,,,,,,,,,,,,Super League,,,,,,,,2.75,,,3.55,2.85,,,,,,,,,,,,2.75,3.55,2.66,,,,D,,,,,,,,,,,,,2012/2013,18:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland,
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3.02,,,3.27,2.25,,,Grasshoppers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/08/2012,,,,,,,,,,,,,,,,,1,,,,,,,,,,,St. Gallen,,,,,,,,,,,,,,,,,,,,Super League,,,,,,,,3.2,,,3.53,2.41,,,,,,,,,,,,3.09,3.53,2.41,,,,D,,,,,,,,,,,,,2012/2013,18:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland,
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2.43,,,3.19,2.8,,,Luzern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/08/2012,,,,,,,,,,,,,,,,,2,,,,,,,,,,,Thun,,,,,,,,,,,,,,,,,,,,Super League,,,,,,,,2.65,,,3.32,3.13,,,,,,,,,,,,2.5,3.3,3.07,,,,H,,,,,,,,,,,,,2012/2013,12:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland,
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,5.53,,,3.78,1.57,,,Lausanne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/08/2012,,,,,,,,,,,,,,,,,4,,,,,,,,,,,Zurich,,,,,,,,,,,,,,,,,,,,Super League,,,,,,,,6.17,,,4.11,1.66,,,,,,,,,,,,6.06,4.11,1.63,,,,H,,,,,,,,,,,,,2012/2013,12:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland,
,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2.07,,,3.33,3.34,,,Young Boys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/08/2012,,,,,,,,,,,,,,,,,1,,,,,,,,,,,Servette,,,,,,,,,,,,,,,,,,,,Super League,,,,,,,,2.2,,,3.64,3.66,,,,,,,,,,,,2.1,3.59,3.66,,,,D,,,,,,,,,,,,,2012/2013,15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switzerland,
